Country,CountryCode,Region,Continent,GDP,GDP_perCapita,lifeExpectancy
Gabon,GAB,Africa | South & West,Africa,14569527124.62,9362.11,62.2897561
"Gambia, The",GMB,Africa | South & West,Africa,951827284.92,566.35,58.1335122
Georgia,GEO,Asia | South & West,Asia,11638536834.43,2613.76,73.67473171
Germany,DEU,Europe | North & West,Europe,3412008772736.86,41723.37,79.98780488
Ghana,GHA,Africa | South & West,Africa,32174839712.79,1326.09,60.59956098
Greece,GRC,Europe | South & East,Europe,299598056253.27,26861.46,80.38780488
Grenada,GRD,America | North & Central,Americas,771015875.27,7365.67,72.33687805
Guatemala,GTM,America | North & Central,Americas,41337958251.63,2882.39,70.99597561
Guinea,GIN,Africa | South & West,Africa,4735956475.83,435.45,55.298
Guinea-Bissau,GNB,Africa | South & West,Africa,847491366.89,534.15,53.55843902
Guyana,GUY,America | South,Americas,2259288396.24,2873.95,65.7024878
Haiti,HTI,America | North & Central,Americas,6622541528.57,669.19,61.8667561
Honduras,HND,America | North & Central,Americas,15839344591.98,2078.33,72.85031707
"Hong Kong SAR, China",HKG,Asia | East & Central,Asia,228637697575.04,32550,82.97804878
Hungary,HUN,Europe | South & East,Europe,129585601615.85,12958.53,74.20731707
Iceland,ISL,Europe | North & West,Europe,13261035516.56,41695.99,81.89756098
India,IND,Asia | South & West,Asia,1708458876829.92,1417.07,65.6942439
Indonesia,IDN,Asia | East & Central,Asia,709190823319.75,2946.66,70.16785366
"Iran, Islamic Rep.",IRN,Asia | South & West,Asia,422567967404.51,5674.92,73.13014634
